CustomerKey,First Name,Last Name,Full Name,Gender,DateFirstPurchase,Customer City,Country
11000,Jon,Yang,Jon Yang,MALE,2018-01-19,Rockhampton,Australia
11001,Eugene,Huang,Eugene Huang,MALE,2018-01-15,Seaford,Australia
11002,Ruben,Torres,Ruben Torres,MALE,2018-01-07,Hobart,Australia
11003,Christy,Zhu,Christy Zhu,FEMALE,2017-12-29,North Ryde,Australia
11004,Elizabeth,Johnson,Elizabeth Johnson,FEMALE,2018-01-23,Wollongong,Australia
11005,Julio,Ruiz,Julio Ruiz,MALE,2017-12-30,East Brisbane,Australia
11006,Janet,Alvarez,Janet Alvarez,FEMALE,2018-01-24,Matraville,Australia
11007,Marco,Mehta,Marco Mehta,MALE,2018-01-09,Warrnambool,Australia
11008,Rob,Verhoff,Rob Verhoff,FEMALE,2018-01-25,Bendigo,Australia
11009,Shannon,Carlson,Shannon Carlson,MALE,2018-01-27,Hervey Bay,Australia
11010,Jacquelyn,Suarez,Jacquelyn Suarez,FEMALE,2018-01-14,East Brisbane,Australia
11011,Curtis,Lu,Curtis Lu,MALE,2017-12-30,East Brisbane,Australia
11012,Lauren,Walker,Lauren Walker,FEMALE,2020-03-16,Bremerton,United States
11013,Ian,Jenkins,Ian Jenkins,MALE,2020-04-13,Lebanon,United States
11014,Sydney,Bennett,Sydney Bennett,FEMALE,2020-03-23,Redmond,United States
11015,Chloe,Young,Chloe Young,FEMALE,2020-01-18,Burbank,United States
11016,Wyatt,Hill,Wyatt Hill,MALE,2020-02-09,Imperial Beach,United States
11017,Shannon,Wang,Shannon Wang,FEMALE,2018-01-12,Sunbury,Australia
11018,Clarence,Rai,Clarence Rai,MALE,2018-01-17,Bendigo,Australia
11019,Luke,Lal,Luke Lal,MALE,2020-02-12,Langley,Canada
11020,Jordan,King,Jordan King,MALE,2019-12-29,Metchosin,Canada
11021,Destiny,Wilson,Destiny Wilson,FEMALE,2020-01-23,Beaverton,United States
11022,Ethan,Zhang,Ethan Zhang,MALE,2020-01-20,Bellingham,United States
11023,Seth,Edwards,Seth Edwards,MALE,2020-02-17,Bellflower,United States
11024,Russell,Xie,Russell Xie,MALE,2020-06-27,Concord,United States
11025,Alejandro,Beck,Alejandro Beck,MALE,2018-01-06,Hawthorne,Australia
11026,Harold,Sai,Harold Sai,MALE,2018-01-23,Goulburn,Australia
11027,Jessie,Zhao,Jessie Zhao,MALE,2018-01-16,Warrnambool,Australia
11028,Jill,Jimenez,Jill Jimenez,FEMALE,2018-01-26,St. Leonards,Australia
11029,Jimmy,Moreno,Jimmy Moreno,MALE,2018-01-19,Bendigo,Australia
11030,Bethany,Yuan,Bethany Yuan,FEMALE,2018-02-05,Cloverdale,Australia
11031,Theresa,Ramos,Theresa Ramos,FEMALE,2018-02-01,Matraville,Australia
11032,Denise,Stone,Denise Stone,FEMALE,2018-02-18,Melbourne,Australia
11033,Jaime,Nath,Jaime Nath,MALE,2018-02-15,Milsons Point,Australia
11034,Ebony,Gonzalez,Ebony Gonzalez,FEMALE,2018-02-01,North Sydney,Australia
11035,Wendy,Dominguez,Wendy Dominguez,FEMALE,2018-02-06,Cranbourne,Australia
11036,Jennifer,Russell,Jennifer Russell,FEMALE,2020-01-22,National City,United States
11037,Chloe,Garcia,Chloe Garcia,FEMALE,2020-01-20,Cliffside,Canada
11038,Diana,Hernandez,Diana Hernandez,FEMALE,2018-02-07,Lavender Bay,Australia
11039,Marc,Martin,Marc Martin,MALE,2018-02-07,Wollongong,Australia
11040,Jesse,Murphy,Jesse Murphy,MALE,2020-04-03,Tacoma,United States
11041,Amanda,Carter,Amanda Carter,FEMALE,2020-01-14,Glendale,United States
11042,Megan,Sanchez,Megan Sanchez,FEMALE,2020-01-21,Los Angeles,United States
11043,Nathan,Simmons,Nathan Simmons,MALE,2020-05-08,Glendale,United States
11044,Adam,Flores,Adam Flores,MALE,2018-02-28,Hervey Bay,Australia
11045,Leonard,Nara,Leonard Nara,MALE,2020-04-10,Matraville,Australia
11046,Christine,Yuan,Christine Yuan,FEMALE,2018-02-06,Lavender Bay,Australia
11047,Jaclyn,Lu,Jaclyn Lu,FEMALE,2018-02-03,Geelong,Australia
11048,Jeremy,Powell,Jeremy Powell,MALE,2018-02-10,Sunbury,Australia
11049,Carol,Rai,Carol Rai,FEMALE,2020-03-09,Chula Vista,United States
11050,Alan,Zheng,Alan Zheng,MALE,2018-02-20,Hobart,Australia
11051,Daniel,Johnson,Daniel Johnson,MALE,2020-12-29,Caloundra,Australia
11052,Heidi,Lopez,Heidi Lopez,FEMALE,2018-02-17,Matraville,Australia
11053,Ana,Price,Ana Price,FEMALE,2020-01-17,San Diego,United States
11054,Deanna,Munoz,Deanna Munoz,FEMALE,2018-02-03,Geelong,Australia
11055,Gilbert,Raje,Gilbert Raje,MALE,2018-01-31,East Brisbane,Australia
11056,Michele,Nath,Michele Nath,FEMALE,2018-02-26,Newcastle,Australia
11057,Carl,Andersen,Carl Andersen,MALE,2018-02-22,Lane Cove,Australia
11058,Marc,Diaz,Marc Diaz,MALE,2018-03-09,Findon,Australia
11059,Ashlee,Andersen,Ashlee Andersen,FEMALE,2020-02-18,Townsville,Australia
11060,Jon,Zhou,Jon Zhou,MALE,2018-03-19,Warrnambool,Australia
11061,Todd,Gao,Todd Gao,MALE,2018-03-13,Gold Coast,Australia
11062,Noah,Powell,Noah Powell,MALE,2020-01-07,Portland,United States
11063,Angela,Murphy,Angela Murphy,FEMALE,2020-01-12,Redmond,United States
11064,Chase,Reed,Chase Reed,MALE,2020-01-25,Downey,United States
11065,Jessica,Henderson,Jessica Henderson,FEMALE,2020-02-10,La Jolla,United States
11066,Grace,Butler,Grace Butler,FEMALE,2020-05-31,Lebanon,United States
11067,Caleb,Carter,Caleb Carter,MALE,2020-08-18,Port Orchard,United States
11068,Tiffany,Liang,Tiffany Liang,FEMALE,2020-04-30,Warrnambool,Australia
11069,Carolyn,Navarro,Carolyn Navarro,FEMALE,2018-04-17,Gold Coast,Australia
11070,Willie,Raji,Willie Raji,MALE,2018-04-28,Sunbury,Australia
11071,Linda,Serrano,Linda Serrano,FEMALE,2020-03-01,Hawthorne,Australia
11072,Casey,Luo,Casey Luo,FEMALE,2018-03-31,St. Leonards,Australia
11073,Amy,Ye,Amy Ye,FEMALE,2020-03-23,Springwood,Australia
11074,Levi,Arun,Levi Arun,MALE,2020-03-23,Cloverdale,Australia
11075,Felicia,Jimenez,Felicia Jimenez,FEMALE,2018-04-28,Bendigo,Australia
11076,Blake,Anderson,Blake Anderson,MALE,2018-04-21,Wollongong,Australia
11077,Leah,Ye,Leah Ye,FEMALE,2018-04-15,Melton,Australia
11078,Gina,Martin,Gina Martin,FEMALE,2020-02-15,Cliffside,Canada
11079,Donald,Gonzalez,Donald Gonzalez,MALE,2020-03-15,Geelong,Australia
11080,Damien,Chander,Damien Chander,MALE,2018-04-10,Perth,Australia
11081,Savannah,Baker,Savannah Baker,FEMALE,2020-02-12,Concord,United States
11082,Angela,Butler,Angela Butler,FEMALE,2020-01-22,Fremont,United States
11083,Alyssa,Cox,Alyssa Cox,FEMALE,2020-01-06,Lincoln Acres,United States
11084,Lucas,Phillips,Lucas Phillips,MALE,2020-01-04,Lebanon,United States
11085,Emily,Johnson,Emily Johnson,FEMALE,2020-12-06,Newport Beach,United States
11086,Ryan,Brown,Ryan Brown,MALE,2020-07-02,Santa Monica,United States
11087,Tamara,Liang,Tamara Liang,FEMALE,2020-02-25,Chula Vista,United States
11088,Hunter,Davis,Hunter Davis,MALE,2020-01-13,San Diego,United States
11089,Abigail,Price,Abigail Price,FEMALE,2019-12-29,Long Beach,United States
11090,Trevor,Bryant,Trevor Bryant,MALE,2018-08-07,Los Angeles,United States
11091,Dalton,Perez,Dalton Perez,MALE,2020-01-29,Haney,Canada
11092,Cheryl,Diaz,Cheryl Diaz,FEMALE,2018-04-08,East Brisbane,Australia
11093,Aimee,He,Aimee He,FEMALE,2018-04-07,Wollongong,Australia
11094,Cedric,Ma,Cedric Ma,MALE,2020-04-07,Cranbourne,Australia
11095,Chad,Kumar,Chad Kumar,MALE,2018-04-01,Port Macquarie,Australia
11096,Andrés,Anand,Andrés Anand,MALE,2018-04-11,North Sydney,Australia
11097,Edwin,Nara,Edwin Nara,MALE,2018-04-04,Warrnambool,Australia
11098,Mallory,Rubio,Mallory Rubio,FEMALE,2020-02-11,Rhodes,Australia
11099,Adam,Ross,Adam Ross,MALE,2018-04-07,Port Macquarie,Australia
11100,Latasha,Navarro,Latasha Navarro,FEMALE,2018-04-16,Cloverdale,Australia
11101,Abby,Sai,Abby Sai,FEMALE,2018-04-29,Cranbourne,Australia
11102,Julia,Nelson,Julia Nelson,FEMALE,2020-07-16,Sydney,Australia
11103,Cassie,Chande,Cassie Chande,FEMALE,2018-04-15,Darlinghurst,Australia
11104,Edgar,Sara,Edgar Sara,MALE,2018-05-04,Gold Coast,Australia
11105,Candace,Fernandez,Candace Fernandez,FEMALE,2018-05-14,Matraville,Australia
11106,Jessie,Liu,Jessie Liu,MALE,2018-05-18,Warrnambool,Australia
11107,Bianca,Lin,Bianca Lin,FEMALE,2018-05-01,St. Leonards,Australia
11108,Kari,Alvarez,Kari Alvarez,FEMALE,2018-05-03,Port Macquarie,Australia
11109,Ruben,Kapoor,Ruben Kapoor,MALE,2018-05-10,South Melbourne,Australia
11110,Curtis,Yang,Curtis Yang,MALE,2018-05-01,Darlinghurst,Australia
11111,Meredith,Gutierrez,Meredith Gutierrez,FEMALE,2018-05-20,Geelong,Australia
11112,Crystal,Wang,Crystal Wang,FEMALE,2018-05-25,Hervey Bay,Australia
11113,Micheal,Blanco,Micheal Blanco,MALE,2020-02-01,Perth,Australia
11114,Leslie,Moreno,Leslie Moreno,FEMALE,2020-03-18,Rhodes,Australia
11115,Alvin,Cai,Alvin Cai,MALE,2020-02-10,St. Leonards,Australia
11116,Clinton,Carlson,Clinton Carlson,MALE,2020-03-15,Sydney,Australia
11117,April,Deng,April Deng,FEMALE,2018-05-06,Matraville,Australia
11118,Alvin,Zeng,Alvin Zeng,MALE,2020-07-10,Lavender Bay,Australia
11119,Evan,James,Evan James,MALE,2020-02-03,Port Macquarie,Australia
11120,Beth,Jiménez,Beth Jiménez,FEMALE,2018-05-14,Sydney,Australia
11121,Orlando,Suarez,Orlando Suarez,MALE,2020-06-24,Newcastle,Australia
11122,Byron,Vazquez,Byron Vazquez,MALE,2020-02-21,North Sydney,Australia
11123,Philip,Alvarez,Philip Alvarez,MALE,2020-04-17,Sunbury,Australia
11124,Ross,Jordan,Ross Jordan,MALE,2018-05-05,Warrnambool,Australia
11125,Dana,Navarro,Dana Navarro,FEMALE,2020-01-31,Seaford,Australia
11126,Shaun,Carson,Shaun Carson,MALE,2018-05-28,North Ryde,Australia
11127,Jan,Edwards,Jan Edwards,FEMALE,2020-04-10,San Gabriel,United States
11128,Samantha,Long,Samantha Long,FEMALE,2020-06-19,Renton,United States
11129,Julia,Wright,Julia Wright,FEMALE,2018-08-06,Sedro Woolley,United States
11130,Caroline,Russell,Caroline Russell,FEMALE,2020-12-09,Lebanon,United States
11131,Amanda,Rivera,Amanda Rivera,FEMALE,2020-10-18,Haney,Canada
